project_name_en,ejari_property_sub_type_en,average_prices_per_development
ALANDALUS BUILDING E,2 bed rooms+hall,133184.77777777778
ALANDALUS BUILDING E,3 bed rooms+hall,186250.0
ALANDALUS BUILDING E,4 bed rooms+hall,387500.0
ALCOVE,1bed room+Hall,55193.096153846156
ALCOVE,2 bed rooms+hall,74691.33333333333
ALCOVE,Shop,125289.47368421052
ALCOVE,Studio,35261.11111111111
ALFURJAN PACKAGE 4,3 bed rooms+hall,132119.8546637744
ALFURJAN PACKAGE 4,4 bed rooms+hall,191701.0
ALFURJAN PACKAGE 6,3 bed rooms+hall,141608.42676767678
ALFURJAN PACKAGE 6,4 bed rooms+hall,170334.5207253886
ALMA-2,2 bed rooms+hall,135008.17365269462
ALMA-2,3 bed rooms+hall,174199.16170212766
ALSEEF I,2 bed rooms+hall,129730.85245901639
ALSEEF I,3 bed rooms+hall,198669.1875
ALSEEF I,4 bed rooms+hall,158400.0
ALSEEF I,5 bed rooms+hall,364536.22222222225
ALSEEF I,Shop,157648.83333333334
ALSHERA TOWER,1bed room+Hall,74752.08302583026
ALSHERA TOWER,2 bed rooms+hall,117202.4320754717
ALSHERA TOWER,2 bed rooms+hall+Maids Room,135500.0
ALSHERA TOWER,3 bed rooms+hall,156741.991902834
ALSHERA TOWER,4 bed rooms+hall,270000.0
ALSHERA TOWER,Shop,167500.0
ALSHERA TOWER,Showroom,1100275.7532467532
ALTIA RESIDENCE,1bed room+Hall,53705.884476534295
ALTIA RESIDENCE,2 bed rooms+hall,74446.65555555555
ALTIA RESIDENCE,3 bed rooms+hall,93878.2
ALandalus Building D,1bed room+Hall,58798.77631578947
ALandalus Building D,2 bed rooms+hall,92199.31896551725
ALandalus Building D,3 bed rooms+hall,131037.41935483871
ALandalus Townhouse,2 bed rooms+hall,111517.9375
ALandalus Townhouse,3 bed rooms+hall,128049.80327868853
AMARANTA 2,3 bed rooms+hall,108116.31907894737
AMARANTA 2,4 bed rooms+hall,364686.4961832061
APEX ATRIUM,Clinic,248023.44827586206
APEX ATRIUM,GYM,374404.8333333333
APEX ATRIUM,Ladies Saloon,115561.66666666667
APEX ATRIUM,Office,134408.9413202934
APEX ATRIUM,Restaurant,247380.0
APEX ATRIUM,Shop,275986.88666666666
AR II - Reem Community,3 bed rooms+hall,129656.25205479452
AR II - Reem Community,4 bed rooms+hall,156039.21359223302
AR II Camelia,3 bed rooms+hall,138913.625
AR II Camelia,4 bed rooms+hall,184672.4054054054
AR II Camelia 2,3 bed rooms+hall,143981.54639175258
AR II Camelia 2,4 bed rooms+hall,184980.35955056178
ARABELLA 2 - TOWNHOUSES AT MUDON,2 bed rooms+hall,93200.09009009009
ARABELLA 2 - TOWNHOUSES AT MUDON,3 bed rooms+hall,118914.08005822416
ARABELLA 2 - TOWNHOUSES AT MUDON,4 bed rooms+hall,151612.0
ARABELLA 2 - TOWNHOUSES AT MUDON,5 bed rooms+hall,186219.18181818182
ARABIAN GATE,1bed room+Hall,43483.32365145228
ARABIAN GATE,2 bed rooms+hall,64552.56783919598
ARABIAN GATE,3 bed rooms+hall,88124.5
ARABIAN GATE,Shop,436432.6666666667
ARABIAN GATE,Studio,28710.51724137931
ARABIAN RANCHES - PALMA COMMUNITY,2 bed rooms+hall,178750.0
ARABIAN RANCHES - PALMA COMMUNITY,3 bed rooms+hall,172276.0294117647
ARABIAN RANCHES - PALMA COMMUNITY,4 bed rooms+hall,198890.4798206278
ARABIAN RANCHES - PALMA COMMUNITY,5 bed rooms+hall,203716.65174129352
ARABIAN RANCHES - RASHA COMMUNITY,4 bed rooms+hall,226036.11904761905
ARABIAN RANCHES - RASHA COMMUNITY,5 bed rooms+hall,271602.2909090909
ARABIAN RANCHES - RASHA COMMUNITY,6 bed rooms+hall,287109.0
ARABIAN RANCHES - SAMARA COMMUNITY,3 bed rooms+hall,175694.68558951965
ARABIAN RANCHES - SAMARA COMMUNITY,4 bed rooms+hall,187549.11574074073
ARABIAN RANCHES - SAMARA COMMUNITY,5 bed rooms+hall,213745.921875
ARABIAN RANCHES - SAMARA COMMUNITY,Nursery,542078.75
ARABIAN RANCHES - SAMARA COMMUNITY,Shop,379492.20625
ARABIAN RANCHES - YASMIN COMMUNITY,4 bed rooms+hall,221184.1589958159
ARABIAN RANCHES - YASMIN COMMUNITY,5 bed rooms+hall,234836.17741935485
ARABIAN RANCHES - YASMIN COMMUNITY,6 bed rooms+hall,322636.14285714284
ARABIAN RANCHES- AZALEA COMMUNITY,3 bed rooms+hall,161730.38053097346
ARABIAN RANCHES- AZALEA COMMUNITY,4 bed rooms+hall,184584.84662576686
ARABIAN RANCHES- AZALEA COMMUNITY,5 bed rooms+hall,229231.18181818182
ARABIAN RANCHES- ROSA COMMUNITY,3 bed rooms+hall,183581.2
ARABIAN RANCHES- ROSA COMMUNITY,4 bed rooms+hall,220541.04155124654
ARABIAN RANCHES- ROSA COMMUNITY,5 bed rooms+hall,263539.859375
ARABIAN RANCHES- ROSA COMMUNITY,6 bed rooms+hall,266460.3703703704
ARABIAN RANCHES- ROSA COMMUNITY,7 bed rooms+hall,323000.0
ARAS Residence,1bed room+Hall,54597.9
ARAS Residence,2 bed rooms+hall,68207.05555555556
ARAS Residence,Studio,34547.32075471698
ARENA APARTMENTS,1bed room+Hall,56591.65139949109
ARENA APARTMENTS,2 bed rooms+hall,88437.94811320755
ARENA APARTMENTS,3 bed rooms+hall,96105.41666666667
ARENA APARTMENTS,Studio,36809.13812154696
ARIA,1bed room+Hall,56823.116959064326
ARIA,2 bed rooms+hall,89967.6
ARIA,Studio,40121.48648648649
ARMADA TOWERS,1bed room+Hall,70378.9884057971
ARMADA TOWERS,2 bed rooms+hall,112690.43218623482
ARMADA TOWERS,3 bed rooms+hall,110083.45564516129
ARMADA TOWERS,Office,195042.02642007926
ARMADA TOWERS,Shop,376945.07692307694
ARMADA TOWERS,Spa,424478.0
ARMADA TOWERS,Studio,50664.12026359143
ARMADA TOWERS,Warehouse,99422.0
AROOJ PALACE,1bed room+Hall,60095.86956521739
AROOJ PALACE,2 bed rooms+hall,87051.33333333333
AROOJ PALACE,Shop,130000.0
ARTISTIC VILLAS,4 bed rooms+hall,112480.02222222222
ASEEL,4 bed rooms+hall,211883.7105263158
ASEEL,5 bed rooms+hall,210791.64705882352
ASEEL,6 bed rooms+hall,316211.01923076925
ASEEL,7 bed rooms+hall,324578.55555555556
ASTORIA RESIDNECE,1bed room+Hall,46257.07843137255
ASTORIA RESIDNECE,2 bed rooms+hall,73114.78571428571
ASTORIA RESIDNECE,3 bed rooms+hall,92621.60869565218
ASTORIA RESIDNECE,Studio,38387.083333333336
AU TOWER,Office,155369.6599756691
AU TOWER,Shop,254741.47826086957
