project_name_en,ejari_property_sub_type_en,average_prices_per_development
MARINA WHARF II,2 bed rooms+hall,85299.69784172662
MARINA WHARF II,3 bed rooms+hall,112110.35294117648
MARINA WHARF II,Shop,137386.0
MARINA WHARF II,Studio,49590.90909090909
MARINASCAPE,2 bed rooms+hall,135642.1878009631
MARINASCAPE,3 bed rooms+hall,195359.26458333334
MARINASCAPE,4 bed rooms+hall,431566.55
MARINASCAPE,5 bed rooms+hall,383333.3333333333
MARINASCAPE,Shop,281292.0049751244
MARQUISE SQUARE TOWER,1bed room+Hall,78140.67465753424
MARQUISE SQUARE TOWER,2 bed rooms+hall,119515.63984674329
MARQUISE SQUARE TOWER,3 bed rooms+hall,149437.54166666666
MARQUISE SQUARE TOWER,Shop,154232.64
MARQUISE SQUARE TOWER,Studio,57461.141636141634
MARWA HOMES,4 bed rooms+hall,143262.6
MARWA HOMES 2,3 bed rooms+hall,127024.42105263157
MARWA HOMES 2,4 bed rooms+hall,141562.5
MASAAR RESIDENCES,1bed room+Hall,46834.69784172662
MASAAR RESIDENCES,2 bed rooms+hall,61406.818181818184
MASAAR RESIDENCES,Studio,32214.02985074627
MAY RESIDENCE,1bed room+Hall,41209.329090909094
MAY RESIDENCE,2 bed rooms+hall,68458.33333333333
MAY RESIDENCE,Shop,123605.72727272728
MAY RESIDENCE,Showroom,185294.2
MAY RESIDENCE,Studio,29077.748299319726
MAYA townhouses,3 bed rooms+hall,156541.66666666666
MAYFAIR RESIDENCY,1bed room+Hall,59394.83249581239
MAYFAIR RESIDENCY,2 bed rooms+hall,91073.44444444444
MAYFAIR RESIDENCY,3 bed rooms+hall,93237.91176470589
MAYFAIR RESIDENCY,Shop,139181.73529411765
MAYFAIR TOWER,1bed room+Hall,57418.642725598525
MAYFAIR TOWER,2 bed rooms+hall,90300.70833333333
MAYFAIR TOWER,Shop,90211.08
MBL RESIDENCE,1bed room+Hall,86404.29359165425
MBL RESIDENCE,2 bed rooms+hall,113174.82779456193
MBL RESIDENCE,3 bed rooms+hall,257857.14285714287
MBL RESIDENCE,Restaurant,250000.0
MBL RESIDENCE,Shop,203534.18181818182
ME DO RE,1bed room+Hall,126250.0
ME DO RE,2 bed rooms+hall,171792.0
ME DO RE,Shop,241072.0
ME DO RE,Studio,75545.54545454546
MERANO TOWER,1bed room+Hall,60206.944392956444
MERANO TOWER,2 bed rooms+hall,85008.4068627451
MERANO TOWER,3 bed rooms+hall,105380.2
MERANO TOWER,Shop,137772.58333333334
MERANO TOWER,Studio,44874.92444444444
METRO CENTRAL,1bed room+Hall,13410.95890410959
METRO CENTRAL,Studio,10000.0
MICASA AVENUE,1bed room+Hall,42269.20765027322
MICASA AVENUE,2 bed rooms+hall,65260.377358490565
MICASA AVENUE,Shop,55050.0
MIDTOWN - AFNAN,1bed room+Hall,42167.93388429752
MIDTOWN - AFNAN,2 bed rooms+hall,57685.44781144781
MIDTOWN - AFNAN,3 bed rooms+hall,88611.33333333333
MIDTOWN - AFNAN,Shop,95037.11111111111
MIDTOWN - AFNAN,Studio,26012.650429799425
MIDTOWN - DANIA,1bed room+Hall,39602.12810457516
MIDTOWN - DANIA,2 bed rooms+hall,79100.69029850746
MIDTOWN - DANIA,3 bed rooms+hall,82266.66666666667
MIDTOWN - DANIA,Shop,145606.85714285713
MIDTOWN - DANIA,Studio,26543.394904458597
MIDTOWN - MESK,1bed room+Hall,60785.807692307695
MIDTOWN - MESK,2 bed rooms+hall,76452.0546875
MIDTOWN - MESK,3 bed rooms+hall,88400.0
MIDTOWN - MESK,Shop,549851.0
MIDTOWN - MESK,Studio,44000.0
MIDTOWN - NOOR,1bed room+Hall,62787.52258064516
MIDTOWN - NOOR,2 bed rooms+hall,92921.61038961039
MIDTOWN - NOOR,3 bed rooms+hall,149333.33333333334
MIDTOWN - NOOR,Shop,194473.15384615384
MIDTOWN - NOOR,Studio,42579.13953488372
MILLENNIUM ESTATES,4 bed rooms+hall,304190.8181818182
MILLENNIUM ESTATES,5 bed rooms+hall,317361.64739884395
MILLENNIUM ESTATES,7 bed rooms+hall,900000.0
MIRABELLA,3 bed rooms+hall,106160.91935483871
MIRABELLA 1,3 bed rooms+hall,116071.61971830986
MIRABELLA 1,4 bed rooms+hall,115714.28571428571
MIRABELLA 2,3 bed rooms+hall,109064.65217391304
MIRABELLA 3,3 bed rooms+hall,112387.91304347826
MIRABELLA 3,5 bed rooms+hall,114750.0
MIRABELLA 4,3 bed rooms+hall,109530.83333333333
MIRABELLA 4,4 bed rooms+hall,103356.08333333333
MIRABELLA 5,3 bed rooms+hall,106366.20192307692
MIRABELLA 6,3 bed rooms+hall,113748.27083333333
MIRABELLA 8,3 bed rooms+hall,108671.79569892473
MIRABELLA 8,5 bed rooms+hall,151915.75
MIRACLZ TOWER,1bed room+Hall,55144.39175257732
MIRACLZ TOWER,2 bed rooms+hall,82354.20353982301
MIRACLZ TOWER,Shop,72252.58333333333
MIRACLZ TOWER,Studio,35179.91844416562
MIRDIF HILLS- AL MULTAQA AVENUE,1bed room+Hall,70280.70802919708
MIRDIF HILLS- AL MULTAQA AVENUE,2 bed rooms+hall,101428.57142857143
MIRDIF HILLS- AL MULTAQA AVENUE,Clinic,175656.85714285713
MIRDIF HILLS- AL MULTAQA AVENUE,Coffe shop,170520.0
MIRDIF HILLS- AL MULTAQA AVENUE,Office,76312.5
MIRDIF HILLS- AL MULTAQA AVENUE,Pharmacy,110586.66666666667
MIRDIF HILLS- AL MULTAQA AVENUE,Shop,225645.63953488372
MIRDIF HILLS- AL MULTAQA AVENUE,Store,300033.0
MIRDIF HILLS- AL MULTAQA AVENUE,Studio,46404.510791366905
MIRDIF HILLS- AL MULTAQA AVENUE,Supermarket,884141.0
MIRDIF HILLS- JANAYEN AVENUE,1bed room+Hall,61500.0
MIRDIF HILLS- JANAYEN AVENUE,2 bed rooms+hall,77154.66193853428
MIRDIF HILLS- JANAYEN AVENUE,3 bed rooms+hall,95701.75409836066
MIRDIF HILLS- JANAYEN AVENUE,4 bed rooms+hall,130091.33333333333
MIRDIF HILLS- NASAYEM AVENUE,1bed room+Hall,76149.45
MIRDIF HILLS- NASAYEM AVENUE,2 bed rooms+hall,93412.14367816092
MIRDIF HILLS- NASAYEM AVENUE,3 bed rooms+hall,120448.71153846153
MIRDIF HILLS- NASAYEM AVENUE,4 bed rooms+hall,217033.33333333334
MIRDIF HILLS- NASAYEM AVENUE,Duplex,183629.25
MIRDIF HILLS- NASAYEM AVENUE,Studio,74500.0
MIRDIF TULIP,1bed room+Hall,53742.28155339806
MIRDIF TULIP,2 bed rooms+hall,71850.72340425532
MIRDIF TULIP,3 bed rooms+hall,81751.82608695653
MIRDIF TULIP,Office,50135.0
MIRDIF TULIP,Shop,112473.4375
MIRDIF TULIP,Studio,37317.079365079364
MODELUX TOWER 1,1bed room+Hall,35416.666666666664
MODELUX TOWER 1,2 bed rooms+hall,44055.25
MODELUX TOWER 1,Studio,27488.763358778626
MOHAMMAD AQIL ALI & AHMAD ALI ALZAROONI,1bed room+Hall,66116.30147058824
MOHAMMAD AQIL ALI & AHMAD ALI ALZAROONI,2 bed rooms+hall,392693.2693726937
MOHAMMAD AQIL ALI & AHMAD ALI ALZAROONI,Shop,296666.6666666667
MOHAMMAD AQIL ALI & AHMAD ALI ALZAROONI,Showroom,361492.93333333335
MOHAMMAD AQIL ALI & AHMAD ALI ALZAROONI,Studio,58941.173010380626
"MOHAMMED BIN RASHID AL MAKTOUM CITY- DISTRICT ONE, PHASE 1",2 bed rooms+hall,363333.3333333333
"MOHAMMED BIN RASHID AL MAKTOUM CITY- DISTRICT ONE, PHASE 1",3 bed rooms+hall,396000.0
"MOHAMMED BIN RASHID AL MAKTOUM CITY- DISTRICT ONE, PHASE 1",4 bed rooms+hall,404467.9879518072
"MOHAMMED BIN RASHID AL MAKTOUM CITY- DISTRICT ONE, PHASE 1",5 bed rooms+hall,591670.5
"MOHAMMED BIN RASHID AL MAKTOUM CITY- DISTRICT ONE, PHASE 1",6 bed rooms+hall,818292.5943396227
"MOHAMMED BIN RASHID AL MAKTOUM CITY- DISTRICT ONE, PHASE 1",7 bed rooms+hall,1841613.5
"MOHAMMED BIN RASHID AL MAKTOUM CITY- DISTRICT ONE, PHASE 1",8 bed rooms+hall,1500000.0
MOHAMMED BIN RASHID AL MAKTOUM CITY-DISTRICT ONE PHASE II VILLAS,4 bed rooms+hall,552168.6042553191
MOHAMMED BIN RASHID AL MAKTOUM CITY-DISTRICT ONE PHASE II VILLAS,5 bed rooms+hall,867920.062200957
MOHAMMED BIN RASHID AL MAKTOUM CITY-DISTRICT ONE PHASE II VILLAS,6 bed rooms+hall,697222.2222222222
MOHAMMED BIN RASHID AL MAKTOUM CITY-DISTRICT ONE PHASE II VILLAS,7 bed rooms+hall,1488888.888888889
MOHAMMED BIN RASHID AL MAKTOUM CITY-DISTRICT ONE PHASE II VILLAS,8 bed rooms+hall,2998613.0
MOHAMMED BIN RASHID AL MAKTOUM CITY-DISTRICT ONE PHASE II VILLAS,Shop,181002.0
MON REVE,1bed room+Hall,80030.30303030302
MON REVE,2 bed rooms+hall,120009.9898989899
MON REVE,3 bed rooms+hall,150717.87096774194
MON REVE,4 bed rooms+hall,480000.0
MON REVE,Penthouse,385000.0
MONTROSE,1bed room+Hall,45677.57066189624
MONTROSE,2 bed rooms+hall,63377.33393177738
MONTROSE,3 bed rooms+hall,94490.72222222222
MONTROSE,Shop,110959.5625
MOON TOWER 2,1bed room+Hall,55500.0
MOON TOWER 2,2 bed rooms+hall,73058.55855855856
MOON TOWER 2,Shop,57000.0
MOSELA,1bed room+Hall,78792.1062887511
MOSELA,2 bed rooms+hall,143283.07258064515
MOSELA,3 bed rooms+hall,164340.3023255814
MOSELA,Studio,62759.94155844156
MR. C RESIDENCES JUMEIRAH,Shop,1320642.0
MUDON,2 bed rooms+hall,165000.0
MUDON,3 bed rooms+hall,176157.8947368421
MUDON,4 bed rooms+hall,175325.6025128498
MUDON,5 bed rooms+hall,176363.63636363635
MUDON PHASE 3 _  NEIGHBOURHOOD I- ARABELLA,1bed room+Hall,109100.0
MUDON PHASE 3 _  NEIGHBOURHOOD I- ARABELLA,2 bed rooms+hall,110000.0
MUDON PHASE 3 _  NEIGHBOURHOOD I- ARABELLA,3 bed rooms+hall,123744.1839464883
MUDON PHASE 3 _  NEIGHBOURHOOD I- ARABELLA,4 bed rooms+hall,149089.7908496732
MUDON PHASE 3 _  NEIGHBOURHOOD I- ARABELLA,5 bed rooms+hall,128750.0
MULBERRY MANSIONS,4 bed rooms+hall,132291.94
MULBERRY PARK,3 bed rooms+hall,123565.4375
MULBERRY PARK,4 bed rooms+hall,119620.68965517242
MULBERRY at PARK HEIGHTS,1bed room+Hall,74836.86882129278
MULBERRY at PARK HEIGHTS,2 bed rooms+hall,114919.75333333333
MULBERRY at PARK HEIGHTS,3 bed rooms+hall,154236.93714285715
MULBERRY at PARK HEIGHTS,4 bed rooms+hall,246595.35714285713
MURABA RESIDENCES PALM JUMERIAH,2 bed rooms+hall,273533.3695652174
MURABA RESIDENCES PALM JUMERIAH,3 bed rooms+hall,371269.3
MURABA RESIDENCES PALM JUMERIAH,4 bed rooms+hall,600000.0
MURABA RESIDENCES PALM JUMERIAH,Penthouse,745833.3333333334
MURANO RESIDENCE 1,1bed room+Hall,46086.264615384614
MURANO RESIDENCE 1,2 bed rooms+hall,64851.22222222222
MURANO RESIDENCE 1,3 bed rooms+hall,92500.0
MURANO RESIDENCE 1,Shop,128085.23076923077
MYKA Residence,1bed room+Hall,79554.03333333334
MYKA Residence,2 bed rooms+hall,82549.4
MYKA Residence,Studio,45160.338461538464
Madinat Jumeirah Living,1bed room+Hall,150788.91666666666
Madinat Jumeirah Living,2 bed rooms+hall,205499.49019607843
Madinat Jumeirah Living,3 bed rooms+hall,332954.54545454547
Madinat Jumeirah Living,4 bed rooms+hall,520181.8181818182
Madinat Jumeriah Living - Phase 2,1bed room+Hall,120257.98285714285
Madinat Jumeriah Living - Phase 2,2 bed rooms+hall,219763.08080808082
Madinat Jumeriah Living - Phase 2,3 bed rooms+hall,362000.0
Madinat Jumeriah Living - Phase 2,4 bed rooms+hall,532572.1818181818
Maple III,3 bed rooms+hall,166504.7622789784
Maple III,4 bed rooms+hall,188446.90670553935
Maple III,5 bed rooms+hall,199444.29545454544
Marbella Village,3 bed rooms+hall,205202.42105263157
Marbella Village,4 bed rooms+hall,224016.0485436893
Maria Tower,1bed room+Hall,50108.63120567376
Maria Tower,2 bed rooms+hall,62239.05970149254
Maria Tower,Shop,83607.94117647059
Marquis Signature,1bed room+Hall,83857.14285714286
Marquis Signature,2 bed rooms+hall,131666.66666666666
Marquis Signature,3 bed rooms+hall,200000.0
Marquis Signature,Shop,378200.0
Marwa Heights,1bed room+Hall,78651.86363636363
Marwa Heights,2 bed rooms+hall,110212.29629629629
Marwa Heights,3 bed rooms+hall,150000.0
Marwa Heights,Shop,349304.5
Marwa Heights,Studio,46499.066666666666
Milano Giovanni Boutique Suites,1bed room+Hall,59919.117647058825
Milano Giovanni Boutique Suites,2 bed rooms+hall,83937.54
Milano Giovanni Boutique Suites,Hotel,45561.875
Milano Giovanni Boutique Suites,Shop,146611.11111111112
Milano Giovanni Boutique Suites,Studio,39598.6013986014
Millennium Binghatti Residences Business Bay,1bed room+Hall,79593.24096385542
Millennium Binghatti Residences Business Bay,2 bed rooms+hall,112977.64912280702
Millennium Binghatti Residences Business Bay,Shop,383208.5
Millennium Binghatti Residences Business Bay,Studio,58292.666666666664
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , A Villas",4 bed rooms+hall,577077.125
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 1",1bed room+Hall,108970.81481481482
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 1",2 bed rooms+hall,204500.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 11",1bed room+Hall,125000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 11",2 bed rooms+hall,210000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 11",3 bed rooms+hall,288750.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 13",1bed room+Hall,118607.14285714286
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 13",2 bed rooms+hall,171428.57142857142
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 13",3 bed rooms+hall,237500.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 14",1bed room+Hall,106894.73684210527
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 14",2 bed rooms+hall,202647.0588235294
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 14",3 bed rooms+hall,305000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 15",1bed room+Hall,105050.46511627907
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 15",2 bed rooms+hall,185000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 15",3 bed rooms+hall,296250.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 16",1bed room+Hall,108144.51515151515
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 16",2 bed rooms+hall,238200.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 16",3 bed rooms+hall,307500.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 17",1bed room+Hall,103750.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 17",2 bed rooms+hall,188750.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 18",1bed room+Hall,109791.375
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 18",2 bed rooms+hall,225000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 2",1bed room+Hall,97358.1
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 2",2 bed rooms+hall,235000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 20",1bed room+Hall,105010.36
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 20",2 bed rooms+hall,199166.66666666666
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 21",1bed room+Hall,110642.85714285714
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 21",2 bed rooms+hall,190000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 22",1bed room+Hall,105166.66666666667
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 22",2 bed rooms+hall,158333.33333333334
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 23",1bed room+Hall,97000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 26",1bed room+Hall,119562.5
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 26",2 bed rooms+hall,257500.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 27",1bed room+Hall,115263.15789473684
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 27",2 bed rooms+hall,240087.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 28",1bed room+Hall,103234.66666666667
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 29",1bed room+Hall,113428.57142857143
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 3",1bed room+Hall,130877.55882352941
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 3",2 bed rooms+hall,247857.14285714287
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 30",1bed room+Hall,104750.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 30",2 bed rooms+hall,212500.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 31",1bed room+Hall,180000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 31",2 bed rooms+hall,249260.5
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 4",1bed room+Hall,124282.60869565218
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 4",2 bed rooms+hall,260000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 4",3 bed rooms+hall,257500.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 5",1bed room+Hall,104624.26829268293
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 5",2 bed rooms+hall,200000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 5",3 bed rooms+hall,280000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 6",1bed room+Hall,107544.44444444444
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 6",2 bed rooms+hall,200000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 6",3 bed rooms+hall,420000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 6",5 bed rooms+hall,550000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 7",1bed room+Hall,96750.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 7",2 bed rooms+hall,177564.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 7",3 bed rooms+hall,320000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 8",2 bed rooms+hall,190000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 8",3 bed rooms+hall,300000.0
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences12",1bed room+Hall,96259.53333333334
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences12",2 bed rooms+hall,187325.66666666666
Montrell Hotel Aprtments,1bed room+Hall,50441.41477272727
Montrell Hotel Aprtments,Studio,30260.66853932584
Mudon Views,1bed room+Hall,42561.96629213483
Mudon Views,2 bed rooms+hall,78976.25903614458
Mudon Views,3 bed rooms+hall,97651.91666666667
Mudon-Phase 2,1bed room+Hall,24000.0
Mudon-Phase 2,3 bed rooms+hall,177358.572815534
Mudon-Phase 2,4 bed rooms+hall,170517.74759152214
Mudon-Phase 2,5 bed rooms+hall,202865.18905472636
Murooj Al Furjan 1,4 bed rooms+hall,424903.75
NASEEM TOWNHOUSES,3 bed rooms+hall,109699.13416815743
NASEEM TOWNHOUSES,4 bed rooms+hall,130299.79545454546
NASTARAN TOWER,1bed room+Hall,48796.2
NASTARAN TOWER,2 bed rooms+hall,65188.77419354839
NASTARAN TOWER,3 bed rooms+hall,91229.74117647059
NASTARAN TOWER,Office,61813.920634920636
NASTARAN TOWER,Penthouse,307833.3333333333
NASTARAN TOWER,Shop,67191.5
NASTARAN TOWER,Studio,38239.4
NB RESIDENCES,1bed room+Hall,164053.0909090909
NB RESIDENCES,2 bed rooms+hall,263925.9259259259
NB RESIDENCES,3 bed rooms+hall,241140.875
NB RESIDENCES,4 bed rooms+hall,640000.0
NEW DUBAI GATE1,1bed room+Hall,52572.89077669903
NEW DUBAI GATE1,2 bed rooms+hall,94504.564828614
NEW DUBAI GATE1,3 bed rooms+hall,83762.27710843373
NEW DUBAI GATE1,4 bed rooms+hall,145557.6923076923
NEW DUBAI GATE1,5 bed rooms+hall,205000.0
NEW DUBAI GATE1,Office,20000.0
NEW DUBAI GATE1,Shop,85553.4609929078
NEW DUBAI GATE1,Studio,47181.93522727273
NEW DUBAI GATE2,1bed room+Hall,52715.029816513765
NEW DUBAI GATE2,2 bed rooms+hall,58986.46361746362
NEW DUBAI GATE2,3 bed rooms+hall,85283.49295774648
NEW DUBAI GATE2,Shop,214348.07142857142
NEW DUBAI GATE2,Studio,38164.73114754098
NILOOFAR,1bed room+Hall,52813.789808917194
NILOOFAR,2 bed rooms+hall,67619.52127659574
NILOOFAR,Studio,37765.281690140844
NO 9,1bed room+Hall,88849.04419889503
NO 9,2 bed rooms+hall,122298.63567839196
NO 9,3 bed rooms+hall,199709.39215686274
NO 9,4 bed rooms+hall,83974.0
NO 9,Shop,507880.60714285716
"NO. 4A, NO.4B, NO.5 CITYWALK RESIDENTIAL",1bed room+Hall,123290.22077922078
"NO. 4A, NO.4B, NO.5 CITYWALK RESIDENTIAL",2 bed rooms+hall,155948.4827586207
"NO. 4A, NO.4B, NO.5 CITYWALK RESIDENTIAL",3 bed rooms+hall,210863.0709219858
"NO. 4A, NO.4B, NO.5 CITYWALK RESIDENTIAL",4 bed rooms+hall,316354.51515151514
"NO. 4A, NO.4B, NO.5 CITYWALK RESIDENTIAL",Machine,455480.6666666667
"NO. 4A, NO.4B, NO.5 CITYWALK RESIDENTIAL",Office,356444.07692307694
"NO. 4A, NO.4B, NO.5 CITYWALK RESIDENTIAL",Shop,363865.43902439025
NO. 6A AND NO.6B CITYWALK RESIDENTIAL,1bed room+Hall,119378.54285714286
NO. 6A AND NO.6B CITYWALK RESIDENTIAL,2 bed rooms+hall,176862.97619047618
NO. 6A AND NO.6B CITYWALK RESIDENTIAL,3 bed rooms+hall,229743.9090909091
NO. 6A AND NO.6B CITYWALK RESIDENTIAL,Shop,371963.8
"NO.1, NO.2A, NO.2B, NO.3A AND 3B CITYWALK RESIDENTIAL",1bed room+Hall,122773.4018404908
"NO.1, NO.2A, NO.2B, NO.3A AND 3B CITYWALK RESIDENTIAL",2 bed rooms+hall,172403.83544303797
"NO.1, NO.2A, NO.2B, NO.3A AND 3B CITYWALK RESIDENTIAL",3 bed rooms+hall,214372.24210526317
"NO.1, NO.2A, NO.2B, NO.3A AND 3B CITYWALK RESIDENTIAL",4 bed rooms+hall,369269.962962963
"NO.1, NO.2A, NO.2B, NO.3A AND 3B CITYWALK RESIDENTIAL",Shop,590042.4842105263
NO.15 & NO.16 CITYWALK RESIDENTIAL,1bed room+Hall,127196.11818181818
NO.15 & NO.16 CITYWALK RESIDENTIAL,2 bed rooms+hall,171276.65934065933
NO.15 & NO.16 CITYWALK RESIDENTIAL,3 bed rooms+hall,200857.40476190476
NO.15 & NO.16 CITYWALK RESIDENTIAL,4 bed rooms+hall,392080.2
NO.15 & NO.16 CITYWALK RESIDENTIAL,Shop,368171.3461538461
"NO.20, NO.21A, NO.21B AND NO.22 CITYWALK RESIDENTIAL",1bed room+Hall,123690.5625
"NO.20, NO.21A, NO.21B AND NO.22 CITYWALK RESIDENTIAL",2 bed rooms+hall,167094.47701149425
"NO.20, NO.21A, NO.21B AND NO.22 CITYWALK RESIDENTIAL",3 bed rooms+hall,214691.64705882352
"NO.20, NO.21A, NO.21B AND NO.22 CITYWALK RESIDENTIAL",4 bed rooms+hall,338096.39130434784
"NO.20, NO.21A, NO.21B AND NO.22 CITYWALK RESIDENTIAL",Shop,333623.6
NO.23A and 23B CITYWALK RESIDENTIAL,1bed room+Hall,119443.27272727272
NO.23A and 23B CITYWALK RESIDENTIAL,2 bed rooms+hall,170103.61904761905
NO.23A and 23B CITYWALK RESIDENTIAL,3 bed rooms+hall,204913.9453125
NO.23A and 23B CITYWALK RESIDENTIAL,4 bed rooms+hall,326379.3333333333
NO.23A and 23B CITYWALK RESIDENTIAL,Shop,732853.9545454546
NO.9 & NO.10 CITYWALK RESIDENTIAL,1bed room+Hall,129406.62827225131
NO.9 & NO.10 CITYWALK RESIDENTIAL,2 bed rooms+hall,172227.90707964601
NO.9 & NO.10 CITYWALK RESIDENTIAL,3 bed rooms+hall,246839.78225806452
NO.9 & NO.10 CITYWALK RESIDENTIAL,4 bed rooms+hall,388740.5517241379
NO.9 & NO.10 CITYWALK RESIDENTIAL,Office,413177.0
NO.9 & NO.10 CITYWALK RESIDENTIAL,Shop,446449.9672131148
NOOR TOWNHOUSES,3 bed rooms+hall,104442.53711526855
NOOR TOWNHOUSES,4 bed rooms+hall,117162.38775510204
NOORA RESIDENCE 1,1bed room+Hall,44758.619047619046
NOORA RESIDENCE 1,2 bed rooms+hall,68589.35087719298
NOORA RESIDENCE 1,Shop,187862.76470588235
NOORA RESIDENCE 1,Studio,30069.08846153846
NORTH BAY,1bed room+Hall,62229.10952380952
NORTH BAY,2 bed rooms+hall,87874.80869565217
NORTH BAY,3 bed rooms+hall,122695.70833333333
NORTH BAY,Shop,111364.8947368421
Nicholas Residence,1bed room+Hall,73200.0
Nicholas Residence,3 bed rooms+hall,170000.0
Nicholas Residence,Shop,103273.66666666667
Nicholas Residence,Studio,55777.77777777778
"No.17, No.18a,No.18b and No.19 Citywalk Residential",1bed room+Hall,121298.46543778802
"No.17, No.18a,No.18b and No.19 Citywalk Residential",2 bed rooms+hall,165126.4395280236
"No.17, No.18a,No.18b and No.19 Citywalk Residential",3 bed rooms+hall,214144.86976744185
"No.17, No.18a,No.18b and No.19 Citywalk Residential",4 bed rooms+hall,362585.2195121951
"No.17, No.18a,No.18b and No.19 Citywalk Residential",Shop,394864.1886792453
O 2,1bed room+Hall,52779.2042042042
O 2,Office,106577.1052631579
O 2,Shop,174250.0
O 2,Studio,34704.06367041198
O10,1bed room+Hall,93845.93478260869
O10,2 bed rooms+hall,114200.0
O10,Office,30000.0
O10,Studio,61285.71428571428
OAKWOOD RESIDENCY,1bed room+Hall,60711.18270008084
OAKWOOD RESIDENCY,2 bed rooms+hall,63241.5641025641
OAKWOOD RESIDENCY,Shop,249241.62962962964
OASIS HIGH PARK,1bed room+Hall,45545.15062761506
OASIS HIGH PARK,2 bed rooms+hall,68262.18343195267
OASIS HIGH PARK,Studio,31770.284178187405
OASIS STAR,1bed room+Hall,41953.1452991453
OASIS STAR,2 bed rooms+hall,63312.31914893617
OASIS STAR,Studio,30400.365853658535
OASIS TOWER ONE,1bed room+Hall,41257.88172043011
OASIS TOWER ONE,2 bed rooms+hall,55419.08256880734
